datetime,windspeed
1/1/2018,12
1/2/2018,14
1/3/2018,9
1/4/2018,11
1/5/2018,11
1/6/2018,21
1/7/2018,11
1/8/2018,9
1/9/2018,21
1/10/2018,17
1/11/2018,26
1/12/2018,16
1/13/2018,17
1/14/2018,26
1/15/2018,18
1/16/2018,11
1/17/2018,11
1/18/2018,54
1/19/2018,19
1/20/2018,10
1/21/2018,10
1/22/2018,9
1/23/2018,18
1/24/2018,21
1/25/2018,17
1/26/2018,24
1/27/2018,24
1/28/2018,18
1/29/2018,8
1/30/2018,13
1/31/2018,21
2/1/2018,21
2/2/2018,9
2/3/2018,8
2/4/2018,9
2/5/2018,39
2/6/2018,7
2/7/2018,9
2/8/2018,8
2/9/2018,48
2/10/2018,8
2/11/2018,26
2/12/2018,18
2/13/2018,9
2/14/2018,10
2/15/2018,18
2/16/2018,13
2/17/2018,28
2/18/2018,28
2/19/2018,17
2/20/2018,17
2/21/2018,8
2/22/2018,12
2/23/2018,10
2/24/2018,10
2/25/2018,26
2/26/2018,18
2/27/2018,8
2/28/2018,39
3/1/2018,54
3/2/2018,16
3/3/2018,58
3/4/2018,24
3/5/2018,28
3/6/2018,12
3/7/2018,22
3/8/2018,39
3/9/2018,32
3/10/2018,20
3/11/2018,14
3/12/2018,13
3/13/2018,21
3/14/2018,28
3/15/2018,19
3/16/2018,20
3/17/2018,14
3/18/2018,13
3/19/2018,48
3/20/2018,26
3/21/2018,27
3/22/2018,23
3/23/2018,32
3/24/2018,42
3/25/2018,24
3/26/2018,17
3/27/2018,32
3/28/2018,22
3/29/2018,29
3/30/2018,24
3/31/2018,11
4/1/2018,10
4/2/2018,25
4/3/2018,28
4/4/2018,16
4/5/2018,11
4/6/2018,11
4/7/2018,10
4/8/2018,11
4/9/2018,21
4/10/2018,25
4/11/2018,18
4/12/2018,11
4/13/2018,22
4/14/2018,17
4/15/2018,21
4/16/2018,14
4/17/2018,16
4/18/2018,10
4/19/2018,25
4/20/2018,33
4/21/2018,18
4/22/2018,21
4/23/2018,13
4/24/2018,17
4/25/2018,14
4/26/2018,15
4/27/2018,30
4/28/2018,21
4/29/2018,17
4/30/2018,22
5/1/2018,17
5/2/2018,18
5/3/2018,13
5/4/2018,19
5/5/2018,16
5/6/2018,20
5/7/2018,16
5/8/2018,18
5/9/2018,18
5/10/2018,20
5/11/2018,21
5/12/2018,15
5/13/2018,17
5/14/2018,19
5/15/2018,17
5/16/2018,18
5/17/2018,19
5/18/2018,17
5/19/2018,20
5/20/2018,17
5/21/2018,24
5/22/2018,22
5/23/2018,21
5/24/2018,27
5/25/2018,9
5/26/2018,17
5/27/2018,17
5/28/2018,18
5/29/2018,18
5/30/2018,18
5/31/2018,13
6/1/2018,21
6/2/2018,18
6/3/2018,15
6/4/2018,14
6/5/2018,17
6/6/2018,16
6/7/2018,16
6/8/2018,12
6/9/2018,12
6/10/2018,8
6/11/2018,12
6/12/2018,17
6/13/2018,19
6/14/2018,10
6/15/2018,26
6/16/2018,20
6/17/2018,20
6/18/2018,17
6/19/2018,12
6/20/2018,20
6/21/2018,13
6/22/2018,13
6/23/2018,13
6/24/2018,16
6/25/2018,24
6/26/2018,14
6/27/2018,12
6/28/2018,17
6/29/2018,16
6/30/2018,15
7/1/2018,9
7/2/2018,14
7/3/2018,24
7/4/2018,17
7/5/2018,22
7/6/2018,21
7/7/2018,13
7/8/2018,17
7/9/2018,11
7/10/2018,16
7/11/2018,19
7/12/2018,22
7/13/2018,26
7/14/2018,24
7/15/2018,23
7/16/2018,11
7/17/2018,19
7/18/2018,13
7/19/2018,24
7/20/2018,17
7/21/2018,11
7/22/2018,20
7/23/2018,13
7/24/2018,28
7/25/2018,20
7/26/2018,16
7/27/2018,8
7/28/2018,22
7/29/2018,20
7/30/2018,18
7/31/2018,20
8/1/2018,19
8/2/2018,17
8/3/2018,22
8/4/2018,24
8/5/2018,16
8/6/2018,11
8/7/2018,22
8/8/2018,34
8/9/2018,24
8/10/2018,32
8/11/2018,26
8/12/2018,29
8/13/2018,19
8/14/2018,25
8/15/2018,23
8/16/2018,16
8/17/2018,13
8/18/2018,17
8/19/2018,27
8/20/2018,29
8/21/2018,16
8/22/2018,17
8/23/2018,17
8/24/2018,18
8/25/2018,9
8/26/2018,12
8/27/2018,15
8/28/2018,13
8/29/2018,17
8/30/2018,19
8/31/2018,15
9/1/2018,21
9/2/2018,21
9/3/2018,27
9/4/2018,15
9/5/2018,18
9/6/2018,26
9/7/2018,26
9/8/2018,28
9/9/2018,26
9/10/2018,28
9/11/2018,19
9/12/2018,21
9/13/2018,17
9/14/2018,14
9/15/2018,21
9/16/2018,17
9/17/2018,22
9/18/2018,18
9/19/2018,16
9/20/2018,18
9/21/2018,18
9/22/2018,15
9/23/2018,11
9/24/2018,13
9/25/2018,26
9/26/2018,24
9/27/2018,21
9/28/2018,17
9/29/2018,17
9/30/2018,17
10/1/2018,22
10/2/2018,19
10/3/2018,17
10/4/2018,20
10/5/2018,22
10/6/2018,21
10/7/2018,23
10/8/2018,6
10/9/2018,9
10/10/2018,22
10/11/2018,8
10/12/2018,15
10/13/2018,13
10/14/2018,11
10/15/2018,10
10/16/2018,6
10/17/2018,8
10/18/2018,9
10/19/2018,15
10/20/2018,13
10/21/2018,10
10/22/2018,17
10/23/2018,19
10/24/2018,32
10/25/2018,38
10/26/2018,30
10/27/2018,13
10/28/2018,10
10/29/2018,10
10/30/2018,5
10/31/2018,4
11/1/2018,15
11/2/2018,24
11/3/2018,22
11/4/2018,26
11/5/2018,17
11/6/2018,17
11/7/2018,19
11/8/2018,10
11/9/2018,12
11/10/2018,9
11/11/2018,8
11/12/2018,18
11/13/2018,18
11/14/2018,17
11/15/2018,15
11/16/2018,8
11/17/2018,16
11/18/2018,8
11/19/2018,8
11/20/2018,11
11/21/2018,10
11/22/2018,20
11/23/2018,21
11/24/2018,23
11/25/2018,5
11/26/2018,14
11/27/2018,11
11/28/2018,18
11/29/2018,21
11/30/2018,9
12/1/2018,17
12/2/2018,14
12/3/2018,6
12/4/2018,10
12/5/2018,21
12/6/2018,21
12/7/2018,18
12/8/2018,11
12/9/2018,14
12/10/2018,15
12/11/2018,22
12/12/2018,26
12/13/2018,18
12/14/2018,22
12/15/2018,12
12/16/2018,8
12/17/2018,8
12/18/2018,8
12/19/2018,6
12/20/2018,17
12/21/2018,22
12/22/2018,11
12/23/2018,11
12/24/2018,21
12/25/2018,21
12/26/2018,18
12/27/2018,11
12/28/2018,23
12/29/2018,11
12/30/2018,13
12/31/2018,9
1/1/2019,11
1/2/2019,11
1/3/2019,11
1/4/2019,32
1/5/2019,15
1/6/2019,30
1/7/2019,30
1/8/2019,30
1/9/2019,26
1/10/2019,8
1/11/2019,9
1/12/2019,28
1/13/2019,5
1/14/2019,13
1/15/2019,12
1/16/2019,52
1/17/2019,24
1/18/2019,11
1/19/2019,5
1/20/2019,8
1/21/2019,9
1/22/2019,15
1/23/2019,9
1/24/2019,9
1/25/2019,11
1/26/2019,22
1/27/2019,13
1/28/2019,15
1/29/2019,12
1/30/2019,13
1/31/2019,9
2/1/2019,10
2/2/2019,22
2/3/2019,8
2/4/2019,8
2/5/2019,5
2/6/2019,13
2/7/2019,15
2/8/2019,11
2/9/2019,15
2/10/2019,11
2/11/2019,11
2/12/2019,11
2/13/2019,19
2/14/2019,22
2/15/2019,26
2/16/2019,22
2/17/2019,9
2/18/2019,26
2/19/2019,30
