datetime,windspeed
1/1/2018,12
1/2/2018,11
1/3/2018,18
1/4/2018,18
1/5/2018,18
1/6/2018,18
1/7/2018,8
1/8/2018,11
1/9/2018,11
1/10/2018,10
1/11/2018,11
1/12/2018,18
1/13/2018,10
1/14/2018,11
1/15/2018,15
1/16/2018,7
1/17/2018,11
1/18/2018,18
1/19/2018,9
1/20/2018,11
1/21/2018,15
1/22/2018,18
1/23/2018,16
1/24/2018,11
1/25/2018,15
1/26/2018,13
1/27/2018,11
1/28/2018,11
1/29/2018,15
1/30/2018,18
1/31/2018,11
2/1/2018,19
2/2/2018,12
2/3/2018,18
2/4/2018,14
2/5/2018,11
2/6/2018,13
2/7/2018,11
2/8/2018,13
2/9/2018,15
2/10/2018,24
2/11/2018,19
2/12/2018,18
2/13/2018,22
2/14/2018,18
2/15/2018,8
2/16/2018,15
2/17/2018,10
2/18/2018,12
2/19/2018,15
2/20/2018,11
2/21/2018,22
2/22/2018,15
2/23/2018,18
2/24/2018,18
2/25/2018,15
2/26/2018,11
2/27/2018,9
2/28/2018,11
3/1/2018,26
3/2/2018,11
3/3/2018,15
3/4/2018,37
3/5/2018,11
3/6/2018,15
3/7/2018,18
3/8/2018,11
3/9/2018,22
3/10/2018,22
3/11/2018,18
3/12/2018,16
3/13/2018,11
3/14/2018,18
3/15/2018,22
3/16/2018,18
3/17/2018,24
3/18/2018,15
3/19/2018,18
3/20/2018,20
3/21/2018,18
3/22/2018,15
3/23/2018,18
3/24/2018,11
3/25/2018,13
3/26/2018,18
3/27/2018,11
3/28/2018,18
3/29/2018,18
3/30/2018,15
3/31/2018,15
4/1/2018,18
4/2/2018,15
4/3/2018,18
4/4/2018,18
4/5/2018,18
4/6/2018,15
4/7/2018,18
4/8/2018,22
4/9/2018,22
4/10/2018,22
4/11/2018,22
4/12/2018,22
4/13/2018,11
4/14/2018,12
4/15/2018,21
4/16/2018,23
4/17/2018,22
4/18/2018,15
4/19/2018,18
4/20/2018,39
4/21/2018,22
4/22/2018,18
4/23/2018,15
4/24/2018,15
4/25/2018,9
4/26/2018,11
4/27/2018,11
4/28/2018,18
4/29/2018,15
4/30/2018,23
5/1/2018,18
5/2/2018,21
5/3/2018,19
5/4/2018,18
5/5/2018,18
5/6/2018,22
5/7/2018,26
5/8/2018,22
5/9/2018,22
5/10/2018,20
5/11/2018,22
5/12/2018,22
5/13/2018,37
5/14/2018,18
5/15/2018,18
5/16/2018,28
5/17/2018,28
5/18/2018,18
5/19/2018,22
5/20/2018,22
5/21/2018,30
5/22/2018,22
5/23/2018,18
5/24/2018,18
5/25/2018,18
5/26/2018,22
5/27/2018,15
5/28/2018,18
5/29/2018,18
5/30/2018,18
5/31/2018,18
6/1/2018,22
6/2/2018,25
6/3/2018,22
6/4/2018,22
6/5/2018,28
6/6/2018,18
6/7/2018,34
6/8/2018,27
6/9/2018,18
6/10/2018,25
6/11/2018,18
6/12/2018,25
6/13/2018,36
6/14/2018,28
6/15/2018,34
6/16/2018,34
6/17/2018,29
6/18/2018,30
6/19/2018,18
6/20/2018,21
6/21/2018,23
6/22/2018,20
6/23/2018,20
6/24/2018,26
6/25/2018,28
6/26/2018,25
6/27/2018,28
6/28/2018,22
6/29/2018,26
6/30/2018,22
7/1/2018,18
7/2/2018,29
7/3/2018,32
7/4/2018,32
7/5/2018,29
7/6/2018,23
7/7/2018,26
7/8/2018,25
7/9/2018,30
7/10/2018,30
7/11/2018,29
7/12/2018,36
7/13/2018,26
7/14/2018,22
7/15/2018,29
7/16/2018,19
7/17/2018,15
7/18/2018,17
7/19/2018,21
7/20/2018,20
7/21/2018,25
7/22/2018,30
7/23/2018,24
7/24/2018,26
7/25/2018,30
7/26/2018,22
7/27/2018,26
7/28/2018,36
7/29/2018,36
7/30/2018,31
7/31/2018,38
8/1/2018,26
8/2/2018,27
8/3/2018,30
8/4/2018,35
8/5/2018,22
8/6/2018,26
8/7/2018,22
8/8/2018,18
8/9/2018,18
8/10/2018,18
8/11/2018,28
8/12/2018,30
8/13/2018,27
8/14/2018,22
8/15/2018,19
8/16/2018,18
8/17/2018,18
8/18/2018,22
8/19/2018,22
8/20/2018,26
8/21/2018,30
8/22/2018,22
8/23/2018,28
8/24/2018,22
8/25/2018,25
8/26/2018,18
8/27/2018,18
8/28/2018,12
8/29/2018,19
8/30/2018,23
8/31/2018,26
9/1/2018,22
9/2/2018,20
9/3/2018,21
9/4/2018,15
9/5/2018,18
9/6/2018,18
9/7/2018,18
9/8/2018,24
9/9/2018,15
9/10/2018,17
9/11/2018,19
9/12/2018,18
9/13/2018,22
9/14/2018,19
9/15/2018,21
9/16/2018,18
9/17/2018,19
9/18/2018,20
9/19/2018,18
9/20/2018,18
9/21/2018,14
9/22/2018,28
9/23/2018,15
9/24/2018,15
9/25/2018,15
9/26/2018,11
9/27/2018,16
9/28/2018,11
9/29/2018,15
9/30/2018,15
10/1/2018,11
10/2/2018,15
10/3/2018,11
10/4/2018,15
10/5/2018,26
10/6/2018,15
10/7/2018,11
10/8/2018,11
10/9/2018,22
10/10/2018,11
10/11/2018,11
10/12/2018,15
10/13/2018,8
10/14/2018,11
10/15/2018,11
10/16/2018,18
10/17/2018,12
10/18/2018,11
10/19/2018,15
10/20/2018,18
10/21/2018,11
10/22/2018,11
10/23/2018,15
10/24/2018,22
10/25/2018,15
10/26/2018,11
10/27/2018,8
10/28/2018,11
10/29/2018,9
10/30/2018,11
10/31/2018,11
11/1/2018,18
11/2/2018,18
11/3/2018,18
11/4/2018,13
11/5/2018,12
11/6/2018,11
11/7/2018,8
11/8/2018,15
11/9/2018,18
11/10/2018,11
11/11/2018,18
11/12/2018,11
11/13/2018,15
11/14/2018,9
11/15/2018,11
11/16/2018,11
11/17/2018,11
11/18/2018,15
11/19/2018,18
11/20/2018,15
11/21/2018,8
11/22/2018,8
11/23/2018,18
11/24/2018,11
11/25/2018,15
11/26/2018,15
11/27/2018,15
11/28/2018,15
11/29/2018,12
11/30/2018,15
12/1/2018,18
12/2/2018,18
12/3/2018,18
12/4/2018,11
12/5/2018,11
12/6/2018,18
12/7/2018,15
12/8/2018,11
12/9/2018,11
12/10/2018,15
12/11/2018,22
12/12/2018,15
12/13/2018,7
12/14/2018,11
12/15/2018,9
12/16/2018,11
12/17/2018,7
12/18/2018,13
12/19/2018,15
12/20/2018,15
12/21/2018,12
12/22/2018,7
12/23/2018,11
12/24/2018,11
12/25/2018,1
12/26/2018,15
12/27/2018,18
12/28/2018,18
12/29/2018,18
12/30/2018,8
12/31/2018,15
1/1/2019,11
1/2/2019,15
1/3/2019,15
1/4/2019,8
1/5/2019,15
1/6/2019,18
1/7/2019,11
1/8/2019,15
1/9/2019,8
1/10/2019,17
1/11/2019,22
1/12/2019,15
1/13/2019,15
1/14/2019,11
1/15/2019,12
1/16/2019,8
1/17/2019,18
1/18/2019,11
1/19/2019,18
1/20/2019,18
1/21/2019,15
1/22/2019,10
1/23/2019,11
1/24/2019,11
1/25/2019,8
1/26/2019,11
1/27/2019,11
1/28/2019,8
1/29/2019,15
1/30/2019,33
1/31/2019,36
2/1/2019,18
2/2/2019,11
2/3/2019,5
2/4/2019,15
2/5/2019,5
2/6/2019,25
2/7/2019,15
2/8/2019,18
2/9/2019,10
2/10/2019,11
2/11/2019,11
2/12/2019,18
2/13/2019,18
2/14/2019,18
2/15/2019,14
2/16/2019,15
2/17/2019,8
2/18/2019,18
2/19/2019,18
2/20/2019,22
2/21/2019,15
2/22/2019,14
2/23/2019,8
2/24/2019,18
2/25/2019,15
2/26/2019,22
2/27/2019,17
2/28/2019,18
3/1/2019,15
3/2/2019,34
3/3/2019,24
3/4/2019,11
3/5/2019,11
3/6/2019,11
3/7/2019,18
3/8/2019,19
3/9/2019,15
3/10/2019,28
3/11/2019,12
3/12/2019,18
3/13/2019,22
3/14/2019,8
3/15/2019,15
3/16/2019,11
3/17/2019,12
3/18/2019,18
3/19/2019,18
3/20/2019,22
3/21/2019,18
3/22/2019,15
3/23/2019,13
3/24/2019,26
3/25/2019,18
3/26/2019,18
3/27/2019,15
3/28/2019,18
3/29/2019,15
3/30/2019,22
3/31/2019,18
4/1/2019,15
4/2/2019,12
4/3/2019,11
4/4/2019,15
4/5/2019,15
4/6/2019,18
4/7/2019,18
4/8/2019,22
4/9/2019,18
4/10/2019,26
4/11/2019,15
4/12/2019,22
4/13/2019,22
4/14/2019,11
4/15/2019,32
4/16/2019,22
4/17/2019,26
4/18/2019,18
4/19/2019,18
4/20/2019,15
4/21/2019,11
4/22/2019,18
4/23/2019,18
4/24/2019,28
4/25/2019,18
4/26/2019,18
4/27/2019,16
4/28/2019,12
4/29/2019,18
4/30/2019,26
5/1/2019,18
5/2/2019,20
5/3/2019,22
5/4/2019,18
5/5/2019,18
5/6/2019,15
5/7/2019,18
5/8/2019,18
5/9/2019,27
5/10/2019,22
5/11/2019,20
5/12/2019,18
5/13/2019,22
5/14/2019,26
5/15/2019,22
5/16/2019,26
5/17/2019,19
5/18/2019,18
5/19/2019,15
5/20/2019,18
5/21/2019,11
5/22/2019,13
5/23/2019,37
5/24/2019,18
5/25/2019,18
5/26/2019,18
5/27/2019,18
5/28/2019,18
5/29/2019,22
5/30/2019,13
5/31/2019,15
6/1/2019,15
6/2/2019,18
6/3/2019,24
6/4/2019,18
6/5/2019,18
6/6/2019,22
6/7/2019,36
6/8/2019,18
6/9/2019,18
6/10/2019,18
6/11/2019,19
6/12/2019,18
6/13/2019,18
6/14/2019,19
6/15/2019,18
6/16/2019,25
6/17/2019,37
6/18/2019,22
6/19/2019,22
6/20/2019,22
6/21/2019,23
6/22/2019,21
6/23/2019,19
6/24/2019,25
6/25/2019,18
6/26/2019,28
6/27/2019,40
6/28/2019,33
6/29/2019,27
6/30/2019,22
7/1/2019,30
7/2/2019,20
7/3/2019,26
7/4/2019,25
7/5/2019,28
7/6/2019,35
7/7/2019,27
7/8/2019,37
7/9/2019,34
7/10/2019,35
7/11/2019,37
7/12/2019,21
7/13/2019,36
7/14/2019,24
7/15/2019,38
7/16/2019,34
7/17/2019,28
7/18/2019,29
7/19/2019,22
7/20/2019,19
7/21/2019,15
7/22/2019,15
7/23/2019,18
7/24/2019,22
7/25/2019,27
7/26/2019,34
7/27/2019,27
7/28/2019,30
7/29/2019,34
7/30/2019,18
7/31/2019,18
8/1/2019,29
8/2/2019,28
8/3/2019,21
8/4/2019,17
8/5/2019,19
8/6/2019,21
8/7/2019,23
8/8/2019,18
8/9/2019,15
8/10/2019,30
8/11/2019,27
8/12/2019,24
8/13/2019,21
8/14/2019,19
8/15/2019,23
8/16/2019,22
8/17/2019,24
8/18/2019,18
8/19/2019,23
8/20/2019,18
8/21/2019,18
8/22/2019,22
8/23/2019,18
8/24/2019,22
8/25/2019,22
8/26/2019,15
8/27/2019,18
8/28/2019,37
8/29/2019,15
8/30/2019,15
8/31/2019,22
9/1/2019,18
9/2/2019,15
9/3/2019,18
9/4/2019,18
9/5/2019,15
9/6/2019,13
9/7/2019,24
9/8/2019,18
9/9/2019,19
9/10/2019,18
9/11/2019,18
9/12/2019,19
9/13/2019,24
9/14/2019,19
9/15/2019,16
9/16/2019,18
9/17/2019,15
9/18/2019,15
9/19/2019,13
9/20/2019,18
9/21/2019,18
9/22/2019,15
9/23/2019,15
9/24/2019,12
9/25/2019,18
9/26/2019,18
9/27/2019,11
9/28/2019,18
9/29/2019,18
9/30/2019,15
10/1/2019,18
10/2/2019,12
10/3/2019,31
10/4/2019,18
10/5/2019,37
10/6/2019,18
10/7/2019,11
10/8/2019,8
10/9/2019,15
10/10/2019,18
10/11/2019,18
10/12/2019,18
10/13/2019,18
10/14/2019,18
10/15/2019,8
10/16/2019,11
10/17/2019,9
10/18/2019,38
10/19/2019,18
10/20/2019,8
10/21/2019,8
10/22/2019,7
10/23/2019,7
10/24/2019,15
10/25/2019,15
10/26/2019,14
10/27/2019,11
10/28/2019,10
10/29/2019,16
10/30/2019,15
10/31/2019,9
11/1/2019,18
11/2/2019,11
11/3/2019,6
11/4/2019,8
11/5/2019,11
11/6/2019,18
11/7/2019,18
11/8/2019,15
11/9/2019,14
11/10/2019,11
11/11/2019,9
11/12/2019,15
11/13/2019,18
11/14/2019,26
11/15/2019,18
11/16/2019,13
11/17/2019,11
11/18/2019,11
11/19/2019,9
11/20/2019,11
11/21/2019,18
11/22/2019,16
11/23/2019,15
11/24/2019,11
11/25/2019,8
11/26/2019,11
11/27/2019,10
11/28/2019,12
11/29/2019,12
11/30/2019,11
12/1/2019,7
12/2/2019,8
12/3/2019,12
12/4/2019,11
12/5/2019,12
12/6/2019,11
12/7/2019,6
12/8/2019,9
12/9/2019,11
12/10/2019,18
12/11/2019,11
12/12/2019,18
12/13/2019,9
12/14/2019,18
12/15/2019,18
12/16/2019,8
12/17/2019,5
12/18/2019,5
12/19/2019,8
12/20/2019,8
12/21/2019,18
12/22/2019,13
12/23/2019,8
12/24/2019,18
12/25/2019,18
12/26/2019,18
12/27/2019,18
12/28/2019,15
12/29/2019,18
12/30/2019,9
12/31/2019,10
1/1/2020,18
1/2/2020,21
1/3/2020,11
1/4/2020,4
1/5/2020,15
1/6/2020,18
1/7/2020,15
1/8/2020,15
1/9/2020,11
1/10/2020,12
1/11/2020,15
1/12/2020,18
1/13/2020,15
1/14/2020,18
1/15/2020,15
1/16/2020,12
1/17/2020,12
1/18/2020,13
1/19/2020,8
1/20/2020,13
1/21/2020,12
1/22/2020,15
1/23/2020,10
1/24/2020,7
1/25/2020,8
1/26/2020,15
1/27/2020,26
1/28/2020,18
1/29/2020,15
1/30/2020,18
1/31/2020,18
2/1/2020,15
2/2/2020,8
2/3/2020,9
2/4/2020,16
2/5/2020,15
2/6/2020,11
2/7/2020,37
2/8/2020,15
2/9/2020,8
2/10/2020,15
2/11/2020,15
2/12/2020,18
2/13/2020,15
2/14/2020,15
2/15/2020,11
2/16/2020,12
2/17/2020,13
2/18/2020,9
2/19/2020,12
2/20/2020,18
2/21/2020,11
2/22/2020,15
2/23/2020,8
2/24/2020,8
2/25/2020,8
2/26/2020,8
2/27/2020,17
2/28/2020,18
2/29/2020,20
3/1/2020,18
3/2/2020,11
3/3/2020,11
3/4/2020,22
3/5/2020,26
3/6/2020,8
3/7/2020,28
3/8/2020,15
3/9/2020,22
3/10/2020,28
3/11/2020,22
3/12/2020,19
3/13/2020,18
3/14/2020,6
3/15/2020,15
3/16/2020,14
3/17/2020,8
3/18/2020,12
3/19/2020,8
3/20/2020,18
3/21/2020,18
3/22/2020,15
3/23/2020,15
3/24/2020,16
3/25/2020,22
3/26/2020,22
3/27/2020,18
3/28/2020,16
3/29/2020,18
3/30/2020,28
3/31/2020,18
4/1/2020,22
4/2/2020,14
4/3/2020,13
4/4/2020,18
4/5/2020,18
4/6/2020,18
4/7/2020,25
4/8/2020,18
4/9/2020,18
4/10/2020,18
4/11/2020,15
4/12/2020,15
4/13/2020,18
4/14/2020,15
4/15/2020,18
4/16/2020,22
4/17/2020,37
4/18/2020,18
4/19/2020,18
4/20/2020,18
4/21/2020,18
4/22/2020,18
4/23/2020,22
4/24/2020,12
4/25/2020,30
4/26/2020,18
4/27/2020,15
4/28/2020,22
4/29/2020,22
4/30/2020,23
5/1/2020,15
5/2/2020,15
5/3/2020,23
5/4/2020,18
5/5/2020,18
5/6/2020,15
5/7/2020,18
5/8/2020,18
5/9/2020,18
5/10/2020,15
5/11/2020,15
5/12/2020,37
5/13/2020,30
5/14/2020,16
5/15/2020,18
5/16/2020,18
5/17/2020,15
5/18/2020,18
5/19/2020,12
5/20/2020,18
5/21/2020,18
5/22/2020,20
5/23/2020,18
5/24/2020,20
5/25/2020,18
5/26/2020,22
5/27/2020,18
5/28/2020,23
5/29/2020,18
5/30/2020,16
5/31/2020,15
6/1/2020,18
6/2/2020,34
6/3/2020,22
6/4/2020,22
6/5/2020,22
6/6/2020,22
6/7/2020,18
6/8/2020,18
6/9/2020,25
6/10/2020,18
6/11/2020,18
6/12/2020,18
6/13/2020,18
6/14/2020,18
6/15/2020,18
6/16/2020,18
6/17/2020,22
6/18/2020,32
6/19/2020,37
6/20/2020,30
6/21/2020,18
6/22/2020,18
6/23/2020,22
6/24/2020,26
6/25/2020,31
6/26/2020,31
6/27/2020,33
6/28/2020,18
6/29/2020,35
6/30/2020,22
7/1/2020,27
7/2/2020,23
7/3/2020,25
7/4/2020,24
7/5/2020,24
7/6/2020,18
7/7/2020,18
7/8/2020,18
7/9/2020,21
7/10/2020,31
7/11/2020,22
7/12/2020,32
7/13/2020,22
7/14/2020,16
7/15/2020,24
7/16/2020,30
7/17/2020,18
7/18/2020,22
7/19/2020,26
7/20/2020,30
7/21/2020,35
7/22/2020,25
7/23/2020,22
7/24/2020,27
7/25/2020,27
7/26/2020,18
7/27/2020,22
7/28/2020,24
7/29/2020,29
7/30/2020,20
7/31/2020,25
8/1/2020,21
8/2/2020,19
8/3/2020,32
8/4/2020,30
8/5/2020,24
8/6/2020,28
8/7/2020,34
8/8/2020,18
8/9/2020,15
8/10/2020,22
8/11/2020,18
8/12/2020,18
8/13/2020,19
8/14/2020,25
8/15/2020,21
8/16/2020,17
8/17/2020,18
8/18/2020,16
8/19/2020,21
8/20/2020,22
8/21/2020,18
8/22/2020,18
8/23/2020,11
8/24/2020,18
8/25/2020,22
8/26/2020,15
8/27/2020,15
8/28/2020,7
8/29/2020,15
8/30/2020,14
8/31/2020,22
9/1/2020,18
9/2/2020,11
9/3/2020,8
9/4/2020,18
9/5/2020,15
9/6/2020,13
9/7/2020,12
9/8/2020,12
9/9/2020,15
9/10/2020,18
9/11/2020,7
9/12/2020,3
9/13/2020,11
9/14/2020,15
9/15/2020,18
9/16/2020,18
9/17/2020,11
9/18/2020,3
9/19/2020,11
9/20/2020,8
9/21/2020,15
9/22/2020,15
9/23/2020,8
9/24/2020,9
9/25/2020,18
9/26/2020,15
9/27/2020,15
9/28/2020,15
9/29/2020,11
9/30/2020,8
10/1/2020,8
10/2/2020,8
10/3/2020,12
10/4/2020,8
10/5/2020,9
10/6/2020,18
10/7/2020,8
10/8/2020,9
10/9/2020,11
10/10/2020,8
10/11/2020,11
10/12/2020,18
10/13/2020,18
10/14/2020,13
10/15/2020,12
10/16/2020,12
10/17/2020,15
10/18/2020,16
10/19/2020,12
10/20/2020,15
10/21/2020,13
10/22/2020,13
10/23/2020,15
10/24/2020,12
10/25/2020,11
10/26/2020,18
10/27/2020,9
10/28/2020,11
10/29/2020,3
10/30/2020,11
10/31/2020,2
11/1/2020,10
11/2/2020,11
11/3/2020,15
11/4/2020,11
11/5/2020,12
11/6/2020,11
11/7/2020,8
11/8/2020,10
11/9/2020,2
11/10/2020,5
11/11/2020,12
11/12/2020,10
11/13/2020,5
11/14/2020,15
11/15/2020,18
11/16/2020,22
11/17/2020,11
11/18/2020,8
11/19/2020,8
11/20/2020,22
11/21/2020,13
11/22/2020,14
11/23/2020,15
11/24/2020,11
11/25/2020,17
11/26/2020,18
11/27/2020,20
11/28/2020,6
11/29/2020,8
11/30/2020,9
12/1/2020,8
12/2/2020,3
12/3/2020,9
12/4/2020,8
12/5/2020,11
12/6/2020,11
12/7/2020,10
12/8/2020,12
12/9/2020,11
12/10/2020,16
12/11/2020,16
12/12/2020,12
12/13/2020,12
12/14/2020,11
12/15/2020,16
12/16/2020,13
12/17/2020,10
12/18/2020,5
12/19/2020,5
12/20/2020,9
12/21/2020,7
12/22/2020,12
12/23/2020,12
12/24/2020,12
12/25/2020,12
12/26/2020,11
12/27/2020,22
12/28/2020,18
12/29/2020,15
12/30/2020,12
12/31/2020,8
1/1/2021,11
1/2/2021,15
1/3/2021,15
1/4/2021,18
1/5/2021,11
1/6/2021,11
1/7/2021,12
1/8/2021,22
1/9/2021,15
1/10/2021,11
1/11/2021,15
1/12/2021,8
1/13/2021,11
1/14/2021,11
1/15/2021,9
1/16/2021,11
1/17/2021,8
1/18/2021,18
1/19/2021,11
1/20/2021,15
1/21/2021,18
1/22/2021,15
1/23/2021,28
1/24/2021,13
1/25/2021,9
1/26/2021,9
1/27/2021,3
1/28/2021,8
1/29/2021,11
1/30/2021,6
1/31/2021,18
2/1/2021,22
2/2/2021,12
2/3/2021,11
2/4/2021,19
2/5/2021,2
2/6/2021,8
2/7/2021,13
2/8/2021,11
2/9/2021,10
2/10/2021,15
2/11/2021,12
2/12/2021,11
2/13/2021,12
2/14/2021,12
2/15/2021,8
2/16/2021,15
2/17/2021,9
2/18/2021,11
2/19/2021,7
2/20/2021,13
2/21/2021,11
2/22/2021,11
2/23/2021,11
2/24/2021,11
2/25/2021,15
