datetime,windspeed
1/1/2018,16
1/2/2018,13
1/3/2018,14
1/4/2018,17
1/5/2018,11
1/6/2018,11
1/7/2018,9
1/8/2018,7
1/9/2018,6
1/10/2018,21
1/11/2018,18
1/12/2018,11
1/13/2018,17
1/14/2018,11
1/15/2018,13
1/16/2018,9
1/17/2018,9
1/18/2018,13
1/19/2018,13
1/20/2018,16
1/21/2018,13
1/22/2018,17
1/23/2018,13
1/24/2018,15
1/25/2018,18
1/26/2018,15
1/27/2018,21
1/28/2018,16
1/29/2018,13
1/30/2018,7
1/31/2018,13
2/1/2018,9
2/2/2018,24
2/3/2018,27
2/4/2018,15
2/5/2018,11
2/6/2018,13
2/7/2018,17
2/8/2018,16
2/9/2018,9
2/10/2018,9
2/11/2018,9
2/12/2018,13
2/13/2018,25
2/14/2018,23
2/15/2018,17
2/16/2018,9
2/17/2018,9
2/18/2018,13
2/19/2018,19
2/20/2018,25
2/21/2018,17
2/22/2018,18
2/23/2018,13
2/24/2018,9
2/25/2018,11
2/26/2018,14
2/27/2018,23
2/28/2018,15
3/1/2018,13
3/2/2018,13
3/3/2018,18
3/4/2018,21
3/5/2018,17
3/6/2018,28
3/7/2018,17
3/8/2018,12
3/9/2018,25
3/10/2018,24
3/11/2018,23
3/12/2018,11
3/13/2018,17
3/14/2018,17
3/15/2018,20
3/16/2018,15
3/17/2018,13
3/18/2018,17
3/19/2018,17
3/20/2018,11
3/21/2018,11
3/22/2018,22
3/23/2018,24
3/24/2018,20
3/25/2018,23
3/26/2018,24
3/27/2018,11
3/28/2018,11
3/29/2018,15
3/30/2018,26
3/31/2018,22
4/1/2018,22
4/2/2018,16
4/3/2018,21
4/4/2018,14
4/5/2018,16
4/6/2018,18
4/7/2018,13
4/8/2018,18
4/9/2018,21
4/10/2018,20
4/11/2018,14
4/12/2018,13
4/13/2018,18
4/14/2018,21
4/15/2018,18
4/16/2018,14
4/17/2018,30
4/18/2018,16
4/19/2018,20
4/20/2018,13
4/21/2018,15
4/22/2018,17
4/23/2018,24
4/24/2018,46
4/25/2018,21
4/26/2018,18
4/27/2018,11
4/28/2018,16
4/29/2018,17
4/30/2018,19
5/1/2018,17
5/2/2018,19
5/3/2018,22
5/4/2018,14
5/5/2018,13
5/6/2018,24
5/7/2018,18
5/8/2018,13
5/9/2018,11
5/10/2018,18
5/11/2018,32
5/12/2018,23
5/13/2018,22
5/14/2018,22
5/15/2018,16
5/16/2018,20
5/17/2018,19
5/18/2018,18
5/19/2018,20
5/20/2018,18
5/21/2018,15
5/22/2018,22
5/23/2018,25
5/24/2018,21
5/25/2018,19
5/26/2018,15
5/27/2018,32
5/28/2018,19
5/29/2018,16
5/30/2018,16
5/31/2018,13
6/1/2018,21
6/2/2018,24
6/3/2018,16
6/4/2018,13
6/5/2018,11
6/6/2018,16
6/7/2018,25
6/8/2018,24
6/9/2018,32
6/10/2018,20
6/11/2018,18
6/12/2018,18
6/13/2018,15
6/14/2018,28
6/15/2018,26
6/16/2018,19
6/17/2018,18
6/18/2018,20
6/19/2018,29
6/20/2018,19
6/21/2018,16
6/22/2018,15
6/23/2018,20
6/24/2018,22
6/25/2018,18
6/26/2018,20
6/27/2018,18
6/28/2018,21
6/29/2018,18
6/30/2018,15
7/1/2018,17
7/2/2018,19
7/3/2018,24
7/4/2018,19
7/5/2018,17
7/6/2018,17
7/7/2018,17
7/8/2018,15
7/9/2018,16
7/10/2018,21
7/11/2018,26
7/12/2018,18
7/13/2018,20
7/14/2018,21
7/15/2018,19
7/16/2018,18
7/17/2018,20
7/18/2018,14
7/19/2018,19
7/20/2018,18
7/21/2018,13
7/22/2018,15
7/23/2018,22
7/24/2018,28
7/25/2018,18
7/26/2018,19
7/27/2018,20
7/28/2018,20
7/29/2018,16
7/30/2018,18
7/31/2018,11
8/1/2018,20
8/2/2018,20
8/3/2018,14
8/4/2018,20
8/5/2018,13
8/6/2018,13
8/7/2018,21
8/8/2018,14
8/9/2018,17
8/10/2018,16
8/11/2018,35
8/12/2018,23
8/13/2018,17
8/14/2018,17
8/15/2018,17
8/16/2018,18
8/17/2018,18
8/18/2018,18
8/19/2018,17
8/20/2018,35
8/21/2018,20
8/22/2018,15
8/23/2018,15
8/24/2018,16
8/25/2018,22
8/26/2018,20
8/27/2018,13
8/28/2018,20
8/29/2018,20
8/30/2018,16
8/31/2018,16
9/1/2018,21
9/2/2018,18
9/3/2018,17
9/4/2018,16
9/5/2018,14
9/6/2018,15
9/7/2018,13
9/8/2018,15
9/9/2018,14
9/10/2018,18
9/11/2018,22
9/12/2018,19
9/13/2018,19
9/14/2018,18
9/15/2018,13
9/16/2018,13
9/17/2018,14
9/18/2018,15
9/19/2018,19
9/20/2018,20
9/21/2018,21
9/22/2018,19
9/23/2018,24
9/24/2018,13
9/25/2018,13
9/26/2018,9
9/27/2018,22
9/28/2018,17
9/29/2018,16
9/30/2018,15
10/1/2018,13
10/2/2018,18
10/3/2018,23
10/4/2018,15
10/5/2018,13
10/6/2018,15
10/7/2018,21
10/8/2018,18
10/9/2018,13
10/10/2018,13
10/11/2018,9
10/12/2018,21
10/13/2018,25
10/14/2018,23
10/15/2018,38
10/16/2018,18
10/17/2018,9
10/18/2018,19
10/19/2018,15
10/20/2018,13
10/21/2018,11
10/22/2018,13
10/23/2018,15
10/24/2018,11
10/25/2018,17
10/26/2018,16
10/27/2018,16
10/28/2018,25
10/29/2018,11
10/30/2018,9
10/31/2018,10
11/1/2018,15
11/2/2018,13
11/3/2018,9
11/4/2018,10
11/5/2018,10
11/6/2018,13
11/7/2018,21
11/8/2018,19
11/9/2018,11
11/10/2018,17
11/11/2018,14
11/12/2018,20
11/13/2018,16
11/14/2018,11
11/15/2018,11
11/16/2018,11
11/17/2018,15
11/18/2018,11
11/19/2018,13
11/20/2018,21
11/21/2018,10
